features,importance
NAME_HOUSING_TYPE_Office apartment,0.6000000000000001
NAME_HOUSING_TYPE_Rented apartment,0.4
NAME_HOUSING_TYPE_With parents,0.0
NAME_HOUSING_TYPE_nan,0.0
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,0.2
NAME_INCOME_TYPE_Maternity leave,0.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_State servant,5.0
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Working,4.6
NAME_INCOME_TYPE_nan,0.0
NAME_TYPE_SUITE_Children,0.0
NAME_TYPE_SUITE_Family,0.0
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.0
NAME_TYPE_SUITE_Other_B,0.2
"NAME_TYPE_SUITE_Spouse, partner",0.4
NAME_TYPE_SUITE_Unaccompanied,0.0
NAME_TYPE_SUITE_nan,0.0
OCCUPATION_TYPE_Accountants,0.2
OCCUPATION_TYPE_Cleaning staff,0.2
OCCUPATION_TYPE_Cooking staff,0.2
OCCUPATION_TYPE_Core staff,5.2
OCCUPATION_TYPE_Drivers,2.8
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_High skill tech staff,0.4
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Laborers,1.4
OCCUPATION_TYPE_Low-skill Laborers,0.4
OCCUPATION_TYPE_Managers,0.4
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Private service staff,0.0
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Sales staff,0.6000000000000001
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security staff,0.2
OCCUPATION_TYPE_Waiters/barmen staff,0.0
OCCUPATION_TYPE_nan,0.0
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_Bank,0.4
ORGANIZATION_TYPE_Business Entity Type 1,0.0
ORGANIZATION_TYPE_Business Entity Type 2,0.0
ORGANIZATION_TYPE_Business Entity Type 3,2.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,3.4000000000000004
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,0.0
ORGANIZATION_TYPE_Hotel,0.0
ORGANIZATION_TYPE_Housing,0.0
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,0.4
ORGANIZATION_TYPE_Industry: type 4,0.2
ORGANIZATION_TYPE_Industry: type 5,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,1.4
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,0.2
ORGANIZATION_TYPE_Legal Services,0.6000000000000001
ORGANIZATION_TYPE_Medicine,0.4
ORGANIZATION_TYPE_Military,2.8
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,0.2
ORGANIZATION_TYPE_Police,0.6000000000000001
ORGANIZATION_TYPE_Postal,0.4
ORGANIZATION_TYPE_Realtor,1.6
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,0.0
ORGANIZATION_TYPE_School,1.6
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,5.6
ORGANIZATION_TYPE_Services,0.0
